단어,빈도
확진,558
발생,454
추가,351
접종,285
예약,223
환자,215
서구,201
신규,171
발생(,171
하루,125
어제,125
오늘,114
예정,114
조사,113
방역,113
역학,111
참조,107
유성구,107
18,106
동구,104
가백신,103
50,99
동절기,97
명(,97
중구,96
대덕구,89
동선,79
관내,73
접종(,72
17,71
☎120,70
백신,69
확진(,64
주변,63
번(,63
지역,63
사전,62
거주지,62
12,61
예방,55
11,55
동절,55
내용,54
타지역,51
13,50
세부,50
공개,48
확인,47
자세,46
시기,46
60,44
참여,44
자가격리,42
의료기관,40
14,40
시·군,38
호흡기,38
20,36
파악,36
블로그,35
관외,34
16,34
군민,33
신속,33
항원,33
게시,33
증상,32
▲18세,31
▲50세,31
기추,31
진료,30
경과,30
위중증,29
사망,29
접촉,29
차접종,29
양양,29
☎1339,28
가접종(,28
▲만,27
일(,26
기저질환자,26
의심,25
수원,25
기접종,24
120,24
대상자,24
go하,24
적극,24
병·의원에서,24
방문,23
과천시,23
분당구,22
15,22
30,22
계획,22
모더나,20
화이자,20
22,20
수정구,20
