단어,빈도
접종,1257
확진자,1106
예약,983
추가,639
코로나19,636
동절기,581
사전,519
발생,465
확진,338
차접종,335
가백신,278
시기,260
명(,229
12,219
18,210
발생(,204
접종(,199
백신,194
신규,194
참여,189
기초,187
예방,179
완료자,167
50,160
☎1339,160
▲18세이상,140
17,134
방역,123
11,115
개월,107
수칙,107
예약(,107
18세이상,106
준수,102
착용,93
동절,90
기저질환자,90
일(,85
환기,81
60,71
당일,71
기추,68
발생▲50세이상,68
☎120,67
심정보,67
▲12세이상,65
시기준,64
경과,64
대상자,63
진료,62
가접종(,60
환자,58
호흡기,58
15,57
손씻기,57
1339,56
참고,56
신규확진자,55
14,54
세이상,53
부탁,53
백신예약,52
16,50
▲동절기,50
관외,49
20,48
적극,48
추가접,48
종예약(,48
마스크,47
13,47
개인,45
▲코로나19,44
철원,43
명발,42
추가접종▲사전예약,41
▲18세,41
)4,40
면역저,39
47~61년생,38
▲50세이상,38
60~74세,37
☏560-2116,37
차예,37
26,37
코로나,36
60세이상,36
권고,35
주기,34
18세이상(,33
23,33
완료,33
24,33
27,33
온라,32
22,32
19,32
60~74세(,32
▲실내마스크,32
25,31
