단어,빈도
확진자,1524
발생,992
내용,866
확진,612
참조,609
블로그,605
역학,556
조사,534
방역,515
발생(,513
상세,462
코로나19,446
세부,318
공개,265
예정,249
환자,248
동선,236
자세,231
sns,203
확인,176
완료,144
안내,143
접촉,119
명(,118
14,115
관내,112
13,111
참고,100
일(,98
수칙,97
소독,95
17,94
시홈,94
거주,93
명발,93
지역,90
거주지,88
진행,85
11,80
완치자,79
준수,77
자접,77
강서구,72
12,69
15,68
18:00,67
군포시,65
게시,59
추후,58
추가,57
코로나19확진자,56
타지역,56
계양구,56
)발생,55
주시기바,54
16,52
시청,51
블로그공개,51
자가격리,50
양천구,49
군포,49
주거지,48
유증,47
가족,46
신규,45
블로그(,45
조사후,45
병원,45
거리두기,45
신규확진자,44
광명시,43
구홈페이지,42
참고바랍니다,42
접촉자,41
구청,40
격리,40
시기트,40
참조바랍니다,39
시홈페,39
시기준,37
긴급,37
이송예정,36
:00,35
결과,34
마스크착,34
▶세부,33
관외,32
18,31
sns확인,31
상자,30
금지,30
사적,29
해외입국자,27
자발생,26
오늘(,26
양천,26
우리구,26
이동,26
구홈페,25
2동,25
