단어,빈도
확진자,1876
발생,1028
발생(,517
코로나19,503
방역,409
조사,387
명(,376
역학,352
접종,345
확진,320
준수,295
검사,287
동선,267
추가,236
수칙,232
공개,195
타지역,193
예정,187
참조,185
18,182
차접종,182
접촉자,176
증상,163
11,150
블로그,148
내용,143
12,142
참고,136
참여,134
접촉,123
안내,123
자가격리,121
방문,121
선별,114
진료소,109
의심,109
자제,109
17,109
소독,105
세부,102
관내,94
신규,94
완료,93
시기준,92
동절기,90
개월,90
자세,88
14,87
적극,82
번(,81
백신,76
현재,75
예약,74
예방,74
13,72
15,72
진행,70
이동동선,66
sns,65
16,64
상세,63
격리,62
개인,60
24,59
일(,57
신규확진자,56
치료,56
재택,54
발열,54
전일,53
시기,52
유증,52
가족,52
신속,51
이동,51
모임,51
파악,49
기침,49
22,48
21,47
경과자,47
19,47
20,46
조치,46
게시,45
자택,43
경과,41
현황,40
항원,40
확인,40
거주,40
철저,40
사적,40
30,39
추후,39
지역,39
보건소,39
사전,37
50,36
00,36
