단어,빈도
확진자,469
코로나19,315
발생,296
검사,280
확진,268
방문,267
자제,261
방역,222
안전,184
보건소,183
선별,166
명(,160
준수,153
접종,148
진료소,145
수칙,143
예방,125
지역,125
동선,115
외출,110
증상,107
운영,106
금지,105
안내,89
가족,89
마스크,86
오늘,84
접촉자,82
시기준,78
방문자,77
현재,77
착용,72
예약,72
조사,72
12,70
통제,70
예상,70
타지역,69
확산,69
시기,69
모임,66
위험,66
주민,65
사회,65
시설,63
음성,61
감염,61
대피,60
차량,60
관내,60
시민,59
생활,58
유의,58
완료,56
교통,56
자가격리,56
마스크착,55
단계,55
추가,54
이동,54
발생(,53
예정,52
접촉,52
태풍,52
11,51
활동,50
개인,50
18,50
사전,49
소독,49
우회,49
대비,49
역학,48
도로,48
번(,47
주의,46
보건소(,46
20,45
방지,45
실천,44
운행,44
해제,44
상담,43
적극,43
군민,43
확인,42
백신,42
참조,42
공개,41
발효,41
참고,41
차접종,41
일(,41
동참,40
종교,40
우려,39
건강,38
22,38
주말,38
의심,38
