단어,빈도
착용,1674
방역,1502
마스크,1445
준수,1363
확진자,1321
수칙,1044
개인,557
자제,544
발생,543
코로나19,475
환기,457
발생(,300
접종,281
방문,276
손씻기,276
예방,256
주기,250
명(,240
참여,218
모임,218
생활,210
철저,200
실내,194
적극,193
확진,192
타지역,168
외출,146
▲마스크,144
소독,124
차접종,109
검사,109
추가,107
접촉,106
거리두기,105
확산,98
금지,93
시기준,90
실천,87
백신,87
관내,86
조사,84
가족,84
실내마스크,83
사회,83
11,81
사적,80
감염,78
12,76
동선,72
단계,72
상시,70
지역,70
▲실내,69
증상,69
18,66
시설,65
행사,65
역학,64
일상,63
24,61
접촉자,60
활동,55
다중,55
시기,54
완료,53
필수,52
자가격리,52
14,52
17,52
기저질환자,51
의무,51
확진/,50
50,50
밀폐,49
동절기,48
의심,48
방지,47
권고,47
증상시,46
최소화,46
관외,45
환기·소독,45
도내,44
16,43
이용시설,43
군민,42
지속,41
유지,40
수도권,40
13,40
전국,39
주말,39
15,39
종교,39
마스크착,38
19,37
▲50세,36
현재,36
안전,36
생활화,35
